Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2024,197869,00290600,Appalachian State University,NC,1,,1,NCAA,8122,9976,18098,7,Football,122,,,,122,0,18944,2311199,0,0,2311199,,,,,,13288981,,13288981,,,,13288981,0,13288981,13288981,,13288981,,,,13288981,0,13288981
2024,106458,00109000,Arkansas State University,AR,1,,1,NCAA,2210,3310,5520,7,Football,153,,,,153,0,24612,3765584,0,0,3765584,,,,,,11536628,,11536628,,,,11536628,0,11536628,11536628,,11536628,,,,11536628,0,11536628
2024,218724,00345100,Coastal Carolina University,SC,1,,1,NCAA,4379,5631,10010,7,Football,123,,,,123,0,19073,2346000,0,0,2346000,,,,,,17052582,,17052582,,,,17052582,0,17052582,17052582,,17052582,,,,17052582,0,17052582
2024,139931,00157200,Georgia Southern University,GA,1,,1,NCAA,8031,10740,18771,7,Football,146,,,,146,0,13477,1967592,0,0,1967592,,,,,,11225441,,11225441,,,,11225441,0,11225441,11225441,,11225441,,,,11225441,0,11225441
2024,139940,00157400,Georgia State University,GA,1,,1,NCAA,8427,11963,20390,7,Football,118,,,,118,0,17574,2073699,0,0,2073699,,,,,,12260120,,12260120,,,,12260120,0,12260120,12260120,,12260120,,,,12260120,0,12260120
2024,232423,00372100,James Madison University,VA,2,,1,NCAA,8602,11174,19776,7,Football,121,,,,121,0,21974,2658810,0,0,2658810,,,,,,16863959,,16863959,,,,16863959,0,16863959,16863958,,16863958,,,,16863958,0,16863958
2024,237525,00381500,Marshall University,WV,1,,1,NCAA,2941,3813,6754,7,Football,118,,,,118,0,30252,3569751,0,0,3569751,,,,,,13569649,,13569649,,,,13569649,0,13569649,13569649,,13569649,,,,13569649,0,13569649
2024,232982,00372800,Old Dominion University,VA,1,,1,NCAA,6238,7336,13574,7,Football,116,,,,116,0,30610,3550798,0,0,3550798,,,,,,14787371,,14787371,,,,14787371,0,14787371,14787371,,14787371,,,,14787371,0,14787371
2024,228459,00361500,Texas State University,TX,1,,1,NCAA,12424,18614,31038,7,Football,120,,,,120,0,37716,4525910,0,0,4525910,,,,,,21622408,,21622408,,,,21622408,0,21622408,21622408,,21622408,,,,21622408,0,21622408
2024,102368,00104700,Troy University,AL,1,,1,NCAA,2568,4444,7012,7,Football,129,,,,129,0,9868,1273008,0,0,1273008,,,,,,12597439,,12597439,,,,12597439,0,12597439,10281345,,10281345,,,,10281345,0,10281345
2024,160658,00203100,University of Louisiana at Lafayette,LA,1,,1,NCAA,4676,6570,11246,7,Football,142,,,,142,0,21786,3093613,0,0,3093613,,,,,,14846554,,14846554,,,,14846554,0,14846554,14846554,,14846554,,,,14846554,0,14846554
2024,159993,00202000,University of Louisiana at Monroe,LA,1,,1,NCAA,1563,2557,4120,7,Football,117,,,,117,0,13029,1524451,0,0,1524451,,,,,,7772886,,7772886,,,,7772886,0,7772886,7772886,,7772886,,,,7772886,0,7772886
2024,102094,00105700,University of South Alabama,AL,1,,1,NCAA,2909,4881,7790,7,Football,122,,,,122,0,16434,2005002,0,0,2005002,,,,,,13486171,,13486171,,,,13486171,0,13486171,13932976,,13932976,,,,13932976,0,13932976
2024,176372,00244100,University of Southern Mississippi,MS,1,,1,NCAA,3208,5471,8679,7,Football,113,,,,113,0,17484,1975712,0,0,1975712,,,,,,11033253,,11033253,,,,11033253,0,11033253,11033253,,11033253,,,,11033253,0,11033253
